Method,Name,Error,Occurrences
PUT,PUT /terms/[key],"CatchResponseError('Status 404: {""detail"":""Term not found""}')",15
GET,GET /terms/[key],"CatchResponseError('Status 404: {""detail"":""Term not found""}')",52
POST,POST /terms/,"CatchResponseError('Status 400: {""detail"":""Term already exists""}')",33
