Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,47,0,5,5.170337787234008,2.802832999999616,9.402167000000183,97.0,1.6257171095713687,0.0,5,5,6,6,7,8,9,9,9,9,9
GET,GET /terms/?skip=0&limit=10,4,0,9,8.968614499999472,8.418917000000192,9.891666999997994,1595.0,0.13835890294224415,0.0,9,9,10,10,10,10,10,10,10,10,10
GET,GET /terms/?skip=0&limit=100,4,0,10.166625000000096,11.596416500000428,10.166625000000096,13.04104100000103,17416.0,0.13835890294224415,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,GET /terms/?skip=0&limit=20,5,0,8,7.84521680000001,5.760916999999921,9.544250000001142,3323.0,0.1729486286778052,0.0,8,8,8,10,10,10,10,10,10,10,10
GET,GET /terms/?skip=0&limit=5,1,0,7.476957999998035,7.476957999998035,7.476957999998035,7.476957999998035,795.0,0.03458972573556104,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,GET /terms/?skip=0&limit=50,5,0,10,16.9608082000007,7.705500000000143,49.254416000000134,8515.0,0.1729486286778052,0.0,10,10,10,49,49,49,49,49,49,49,49
GET,GET /terms/?skip=10&limit=10,1,0,9.343666999999556,9.343666999999556,9.343666999999556,9.343666999999556,1729.0,0.03458972573556104,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,GET /terms/?skip=10&limit=100,4,0,10,10.37073949999967,9.90720799999778,10.697709000000444,17600.0,0.13835890294224415,0.0,10,10,11,11,11,11,11,11,11,11,11
GET,GET /terms/?skip=10&limit=20,4,0,8,8.10359375000047,5.925166999999121,9.476250000002295,3379.0,0.13835890294224415,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,GET /terms/?skip=10&limit=50,1,0,8.762582999999324,8.762582999999324,8.762582999999324,8.762582999999324,8717.0,0.03458972573556104,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,GET /terms/?skip=20&limit=10,5,0,8,9.55085859999989,6.937333999999851,13.5389580000016,1651.0,0.1729486286778052,0.0,8,11,11,14,14,14,14,14,14,14,14
GET,GET /terms/?skip=20&limit=100,5,0,10,9.307216400000229,7.293083000000422,10.350833000000392,17652.0,0.1729486286778052,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,GET /terms/?skip=20&limit=20,2,0,9.01912499999824,9.264228999999347,9.01912499999824,9.509333000000453,3396.0,0.06917945147112207,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,GET /terms/?skip=20&limit=5,2,0,5.004834000001068,7.200271000000313,5.004834000001068,9.395707999999559,760.0,0.06917945147112207,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,GET /terms/?skip=20&limit=50,2,0,10,10.660541500000065,9.779542000000419,11.541540999999711,8769.0,0.06917945147112207,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,GET /terms/?skip=30&limit=10,1,0,8.570041999998779,8.570041999998779,8.570041999998779,8.570041999998779,1746.0,0.03458972573556104,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,GET /terms/?skip=30&limit=100,3,0,11.250791000001925,12.115499666667104,11.250791000001925,13.643499999999698,17781.0,0.1037691772066831,0.0,11,11,14,14,14,14,14,14,14,14,14
GET,GET /terms/?skip=30&limit=20,3,0,11,23.084221999998416,8.557790999999426,49.96583299999813,3543.0,0.1037691772066831,0.0,11,11,50,50,50,50,50,50,50,50,50
GET,GET /terms/?skip=30&limit=5,2,0,7,7.229562999999217,6.955542000000037,7.503583999998398,819.0,0.06917945147112207,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,GET /terms/?skip=30&limit=50,2,0,9.410000000002583,10.015708000000956,9.410000000002583,10.621415999999329,8888.0,0.06917945147112207,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,GET /terms/?skip=40&limit=10,7,0,8,7.704297714285348,5.803791000001723,10.66070799999963,1798.0,0.24212808014892725,0.0,8,8,9,9,11,11,11,11,11,11,11
