Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,152,0,4,4.060094026315573,1.8893330000011588,10.272375000003109,97.0,5.219541310362711,0.0,4,4,5,5,5,6,7,7,10,10,10
GET,GET /terms/?skip=0&limit=10,9,0,7,7.94453699999985,4.7691249999992635,12.36037500000009,1595.0,0.3090517881135816,0.0,7,9,9,9,12,12,12,12,12,12,12
GET,GET /terms/?skip=0&limit=100,4,0,10,10.937229249999403,8.750208999998677,13.124833000000002,17416.0,0.13735635027270293,0.0,12,12,13,13,13,13,13,13,13,13,13
GET,GET /terms/?skip=0&limit=20,7,0,7,12.149059428571617,4.989790999999855,41.11608400000044,3323.0,0.24037361297723012,0.0,7,9,9,9,41,41,41,41,41,41,41
GET,GET /terms/?skip=0&limit=5,7,0,7,7.8128514285708155,5.633458999998453,12.265458999998202,795.0,0.24037361297723012,0.0,7,8,9,9,12,12,12,12,12,12,12
GET,GET /terms/?skip=0&limit=50,9,0,8,9.05548622222242,6.020458000000062,11.946667000000133,8515.0,0.3090517881135816,0.0,8,9,11,12,12,12,12,12,12,12,12
GET,GET /terms/?skip=10&limit=10,5,0,8,8.519641800000244,6.4093750000004945,12.061916000000394,1729.0,0.17169543784087865,0.0,8,9,9,12,12,12,12,12,12,12,12
GET,GET /terms/?skip=10&limit=100,12,0,9,10.102753249999596,8.159999999999945,14.591457999999946,17600.0,0.41206905081810874,0.0,10,10,11,11,11,15,15,15,15,15,15
GET,GET /terms/?skip=10&limit=20,6,0,9,8.855840333334678,6.973000000002116,10.387917000002744,3379.0,0.20603452540905437,0.0,9,9,10,10,10,10,10,10,10,10,10
GET,GET /terms/?skip=10&limit=5,14,0,7,8.072785785714997,4.410708000001762,20.579082999999997,845.0,0.48074722595446023,0.0,7,8,9,9,10,21,21,21,21,21,21
GET,GET /terms/?skip=10&limit=50,5,0,8,8.549900200000593,7.317833000000107,11.16400000000084,8717.0,0.17169543784087865,0.0,8,9,9,11,11,11,11,11,11,11,11
GET,GET /terms/?skip=20&limit=10,12,0,8,8.53609733333314,5.991791999999663,12.656708999999822,1651.0,0.41206905081810874,0.0,9,9,9,9,11,13,13,13,13,13,13
GET,GET /terms/?skip=20&limit=100,9,0,10,10.304578888888743,7.069832999999193,13.54304199999845,17652.0,0.3090517881135816,0.0,10,10,12,12,14,14,14,14,14,14,14
GET,GET /terms/?skip=20&limit=20,9,0,8,9.298796333333451,6.475749999999891,13.141917000000447,3396.0,0.3090517881135816,0.0,8,9,12,12,13,13,13,13,13,13,13
GET,GET /terms/?skip=20&limit=5,9,0,8,8.71955555555553,5.49512499999949,12.269458000002231,760.0,0.3090517881135816,0.0,8,9,11,12,12,12,12,12,12,12,12
GET,GET /terms/?skip=20&limit=50,8,0,9,8.935187499999719,7.162083000000763,10.808708999999972,8769.0,0.27471270054540586,0.0,9,9,10,10,11,11,11,11,11,11,11
GET,GET /terms/?skip=30&limit=10,11,0,7,7.671090818182069,5.51091700000228,10.799499999997408,1746.0,0.377729963249933,0.0,7,8,10,10,11,11,11,11,11,11,11
GET,GET /terms/?skip=30&limit=100,10,0,10,10.21978319999981,4.518666999999255,13.996166999998394,17781.0,0.3433908756817573,0.0,11,11,12,12,14,14,14,14,14,14,14
GET,GET /terms/?skip=30&limit=20,9,0,7,7.26113888888887,5.79983299999931,9.327875000000319,3543.0,0.3090517881135816,0.0,7,8,8,8,9,9,9,9,9,9,9
GET,GET /terms/?skip=30&limit=5,5,0,11,9.491333399999924,7.0037919999990095,11.26775000000002,819.0,0.17169543784087865,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,GET /terms/?skip=30&limit=50,7,0,12,11.814595142857241,7.231999999998351,19.321000000001476,8888.0,0.24037361297723012,0.0,12,13,15,15,19,19,19,19,19,19,19
GET,GET /terms/?skip=40&limit=10,5,0,8,9.756141600000134,7.115082999998634,14.889750000001811,1798.0,0.17169543784087865,0.0,8,12,12,15,15,15,15,15,15,15,15
GET,GET /terms/?skip=40&limit=100,8,0,10,10.255744999999482,8.19204200000101,12.343374999996826,17815.0,0.27471270054540586,0.0,10,11,12,12,12,12,12,12,12,12,12
GET,GET /terms/?skip=40&limit=20,11,0,8,7.803049272727761,6.043250000001166,10.549291000000238,3594.0,0.377729963249933,0.0,8,8,8,8,10,11,11,11,11,11,11
GET,GET /terms/?skip=40&limit=5,8,0,8,7.733499999999838,5.157958999999934,13.303125000000193,891.0,0.27471270054540586,0.0,8,8,8,8,13,13,13,13,13,13,13
GET,GET /terms/?skip=40&limit=50,5,0,8,8.530175199999945,6.960875000000755,10.232333000001148,8920.0,0.17169543784087865,0.0,8,9,9,10,10,10,10,10,10,10,10
GET,GET /terms/?skip=50&limit=10,6,0,7,7.559250166667771,5.598000000002656,12.182375000001855,1797.0,0.20603452540905437,0.0,7,7,8,8,12,12,12,12,12,12,12
GET,GET /terms/?skip=50&limit=100,12,0,11,12.055194583333373,8.830667000001569,20.165500000000947,17796.0,0.41206905081810874,0.0,11,12,12,12,19,20,20,20,20,20,20
GET,GET /terms/?skip=50&limit=20,2,0,8,10.671395499999736,7.500290999999493,13.84249999999998,3577.0,0.06867817513635147,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,GET /terms/?skip=50&limit=5,4,0,7,7.483552500000545,6.215500000001484,8.287959000000455,880.0,0.13735635027270293,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,GET /terms/?skip=50&limit=50,7,0,8,9.498660857141873,7.0219169999994335,20.923332999998934,8902.0,0.24037361297723012,0.0,8,8,9,9,21,21,21,21,21,21,21
GET,GET /terms/[key],184,184,7,7.533211750000028,3.9889579999989877,15.178750000000019,27.0,6.318392112544334,6.318392112544334,7,8,9,9,10,11,13,15,15,15,15
POST,POST /terms/,138,97,9,9.555218282608717,4.294791999999603,18.050083000000328,75.04347826086956,4.738794084408251,3.330891494113046,9,11,12,12,14,15,16,17,18,18,18
PUT,PUT /terms/[key],34,34,7,7.648649558823482,4.765666000000834,13.027833999998961,27.0,1.167528977317975,1.167528977317975,7,8,8,9,10,12,13,13,13,13,13
,Aggregated,743,315,7,7.713339520861348,1.8893330000011588,41.11608400000044,2203.9623149394347,25.513942063154566,10.816812583975356,7,9,9,10,12,13,15,17,41,41,41
